ada_id,ae_id,geom_valida,erro_geom,ada_dentro_ae,ada_dentro_uc,dist_uc_metros,simplificada,status_geral
1,1,True,,True,True,1258.82,True,OK
2,2,True,,True,True,466.1,True,OK
3,3,True,,True,True,2451.64,True,OK
4,4,True,,True,True,2064.85,True,OK
5,5,True,,True,True,1236.69,True,OK
6,6,True,,True,True,3940.51,True,OK
7,7,True,,True,True,1391.5,True,OK
8,8,True,,True,True,1997.28,True,OK
9,9,True,,True,True,2363.06,True,OK
10,10,True,,True,False,5567.73,True,FALHA
11,11,True,,True,True,2437.72,True,OK
12,12,True,,True,True,2151.33,True,OK
13,13,True,,True,True,3038.99,True,OK
14,14,True,,True,True,3781.57,True,OK
15,15,True,,True,True,3183.14,True,OK
16,16,True,,True,True,4261.58,True,OK
17,17,True,,True,True,136.5,True,OK
18,18,True,,True,True,3525.42,True,OK
19,19,True,,True,True,1705.02,True,OK
20,20,True,,True,True,3029.85,True,OK
