gbifID,scientificName,family,order,eventDate,basisOfRecord,decimalLatitude,decimalLongitude,stateProvince,datasetName,recordedBy,n_individuals
5164111457,"Syndactyla rufosuperciliata (Lafresnaye, 1832)",Furnariidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,3
5164092365,"Pygochelidon cyanoleuca (Vieillot, 1817)",Hirundinidae,Passeriformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,1
2171282047,"Stilpnia cayana (Linnaeus, 1766)",Thraupidae,Passeriformes,2016-10-15,HUMAN_OBSERVATION,-19.52946,-43.73666,Minas Gerais,,obsr3541,4
5070125975,"Hirundinea ferruginea (Gmelin, 1788)",Tyrannidae,Passeriformes,2025-02-14T18:01,HUMAN_OBSERVATION,-20.097911,-43.488289,Minas Gerais,iNaturalist research-grade observations,filipeprates,9
3168866491,"Camptostoma obsoletum (Temminck, 1824)",Tyrannidae,Passeriformes,2020-07-31,HUMAN_OBSERVATION,-20.132963,-46.985428,Minas Gerais,,obsr280745,1
3210052456,"Theristicus caudatus (Boddaert, 1783)",Threskiornithidae,Pelecaniformes,2020-12-21,HUMAN_OBSERVATION,-20.315615,-46.833275,Minas Gerais,,obsr1115302,10
5164074455,"Chlorostilbon lucidus (Shaw, 1812)",Trochilidae,Apodiformes,2025-05-08T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,1
5467444692,"Xolmis velatus (Lichtenstein, 1823)",Tyrannidae,Passeriformes,2024-12-07,HUMAN_OBSERVATION,-20.342236,-46.857098,Minas Gerais,,obsr2661064,7
3173451554,"Alipiopsitta xanthops (Spix, 1824)",Psittacidae,Psittaciformes,2020-07-31,HUMAN_OBSERVATION,-20.132963,-46.985428,Minas Gerais,,obsr280745,10
5164068382,"Chlorostilbon lucidus (Shaw, 1812)",Trochilidae,Apodiformes,2025-05-07T00:00,HUMAN_OBSERVATION,-20.097401,-43.487988,,,794562383,10
