tipo_zona;id_zona;nome_zona;riqueza_especies;n_registros;n_individuos;area_ha;distancia_m_mais_prox_UC;ucs_no_raio_5km
AE;1;AE_0;0;0;0;3323.01;491.38;1
AE;2;AE_1;62;64;353;3914.63;0.28;1
AE;3;AE_2;0;0;0;2733.71;704.78;1
AE;4;AE_3;0;0;0;2093.66;1921.61;1
AE;5;AE_4;0;0;0;2628.50;173.44;1
AE;6;AE_5;5;5;23;2084.62;1003.53;1
AE;7;AE_6;0;0;0;2494.49;240.50;1
AE;8;AE_7;2;2;16;4443.71;834.83;1
AE;9;AE_8;60;61;348;2875.23;459.84;1
AE;10;AE_9;132;236;1294;3945.11;865.71;1
AE;11;AE_10;0;0;0;1773.42;1529.90;1
AE;12;AE_11;0;0;0;4004.27;80.63;1
AE;13;AE_12;0;0;0;3116.96;541.74;1
AE;14;AE_13;10;10;70;1922.68;885.60;1
AE;15;AE_14;0;0;0;1225.38;2895.18;1
AE;16;AE_15;0;0;0;1742.42;1618.02;1
AE;17;AE_16;120;223;1215;1860.72;3.19;1
AE;18;AE_17;0;0;0;2343.41;639.97;1
AE;19;AE_18;0;0;0;2314.01;630.90;1
AE;20;AE_19;0;0;0;1356.15;873.69;1
ADA;1;ADA_0;0;0;0;349.61;1258.82;1
ADA;2;ADA_1;1;1;8;1057.83;466.10;1
ADA;3;ADA_2;0;0;0;830.90;2451.64;1
ADA;4;ADA_3;0;0;0;1111.21;2064.85;1
ADA;5;ADA_4;0;0;0;433.74;1236.69;1
ADA;6;ADA_5;0;0;0;337.87;3940.51;1
ADA;7;ADA_6;0;0;0;892.16;1391.50;1
ADA;8;ADA_7;1;1;10;754.10;1997.28;1
ADA;9;ADA_8;0;0;0;356.24;2363.06;1
ADA;10;ADA_9;26;35;212;320.10;5567.73;0
ADA;11;ADA_10;0;0;0;349.90;2437.72;1
ADA;12;ADA_11;0;0;0;402.75;2151.33;1
ADA;13;ADA_12;0;0;0;408.00;3038.99;1
ADA;14;ADA_13;0;0;0;401.39;3781.57;1
ADA;15;ADA_14;0;0;0;540.31;3183.14;1
ADA;16;ADA_15;0;0;0;315.95;4261.58;1
ADA;17;ADA_16;61;81;462;957.11;136.50;1
ADA;18;ADA_17;0;0;0;369.21;3525.42;1
ADA;19;ADA_18;0;0;0;443.02;1705.02;1
ADA;20;ADA_19;0;0;0;431.35;3029.85;1
